"year","bula_h","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Baden-W?rttemberg","Rural Area","4.27","5","294","3","4","5","5","5","4.16","4.38","2","5","4","5"
"1985","Baden-W?rttemberg","Urban Area","4.19","4","1748","3","4","5","5","5","4.14","4.24","2","5","4","5"
"1985","Bavaria","Rural Area","4.16","4","890","2","4","5","5","5","4.09","4.23","2","5","4","4"
"1985","Bavaria","Urban Area","4.11","4","1009","3","4","5","5","5","4.05","4.17","2","5","4","4"
"1985","Berlin","Rural Area","","","","","","","","","","","","","",""
"1985","Berlin","Urban Area","4.05","4","367","2","3","5","5","5","3.95","4.15","2","5","4","4"
"1985","Brandenburg","Rural Area","","","","","","","","","","","","","",""
"1985","Brandenburg","Urban Area","","","","","","","","","","","","","",""
"1985","Bremen","Rural Area","","","","","","","","","","","","","",""
"1985","Bremen","Urban Area","4.44","5","115","3","4","5","5","5","4.29","4.59","2","5","4","5"
"1985","Hamburg","Rural Area","","","","","","","","","","","","","",""
"1985","Hamburg","Urban Area","4.17","4","270","3","4","5","5","5","4.05","4.29","2","5","4","5"
"1985","Hesse","Rural Area","4.16","4","154","2","4","5","5","5","4","4.32","2","5","4","5"
"1985","Hesse","Urban Area","4.05","4","965","2","3","5","5","5","3.99","4.11","2","5","4","4"
"1985","Lower Saxony","Rural Area","4.12","4","520","2","4","5","5","5","4.04","4.2","2","5","4","4"
"1985","Lower Saxony","Urban Area","4.07","4","572","3","4","5","5","5","3.99","4.15","2","5","4","4"
"1985","Mecklenburg-Western Pomerania","Rural Area","","","","","","","","","","","","","",""
"1985","Mecklenburg-Western Pomerania","Urban Area","","","","","","","","","","","","","",""
"1985","North Rhine-Westphalia","Rural Area","4.5","5","73","4","4","5","5","5","4.34","4.66","3","5","4","5"
"1985","North Rhine-Westphalia","Urban Area","4.19","4","2871","3","4","5","5","5","4.16","4.22","2","5","4","4"
"1985","Rhineland-Palatinate,Saarland","Rural Area","4.23","5","138","3","4","5","5","5","4.06","4.4","2","5","4","5"
"1985","Rhineland-Palatinate,Saarland","Urban Area","4.23","5","622","3","4","5","5","5","4.16","4.3","2","5","4","5"
"1985","Saxony","Rural Area","","","","","","","","","","","","","",""
"1985","Saxony","Urban Area","","","","","","","","","","","","","",""
"1985","Saxony-Anhalt","Rural Area","","","","","","","","","","","","","",""
"1985","Saxony-Anhalt","Urban Area","","","","","","","","","","","","","",""
"1985","Schleswig-Holstein","Rural Area","4.1","4","185","2","4","5","5","5","3.96","4.24","2","5","4","4"
"1985","Schleswig-Holstein","Urban Area","4","4","166","2","4","5","5","5","3.85","4.15","2","5","4","4"
"1985","Thuringia","Rural Area","","","","","","","","","","","","","",""
"1985","Thuringia","Urban Area","","","","","","","","","","","","","",""
"1986","Baden-W?rttemberg","Rural Area","4.37","5","299","3","4","5","5","5","4.27","4.47","2","5","4","5"
"1986","Baden-W?rttemberg","Urban Area","4.22","5","1693","3","4","5","5","5","4.17","4.27","2","5","4","5"
"1986","Bavaria","Rural Area","4.1","4","821","2","4","5","5","5","4.03","4.17","2","5","4","4"
"1986","Bavaria","Urban Area","4.14","4","946","3","3","5","5","5","4.08","4.2","2","5","4","4"
"1986","Berlin","Rural Area","","","","","","","","","","","","","",""
"1986","Berlin","Urban Area","4.03","4","351","2","3","5","5","5","3.93","4.13","2","5","4","4"
"1986","Brandenburg","Rural Area","","","","","","","","","","","","","",""
"1986","Brandenburg","Urban Area","","","","","","","","","","","","","",""
"1986","Bremen","Rural Area","","","","","","","","","","","","","",""
"1986","Bremen","Urban Area","4.49","5","109","3","4","5","5","5","4.33","4.65","2","5","4","5"
"1986","Hamburg","Rural Area","","","","","","","","","","","","","",""
"1986","Hamburg","Urban Area","4.16","4","245","3","4","5","5","5","4.05","4.27","2","5","4","4"
"1986","Hesse","Rural Area","4.1","5","142","2","3","5","5","5","3.92","4.28","2","5","4","5"
"1986","Hesse","Urban Area","4.1","4","907","3","4","5","5","5","4.04","4.16","2","5","4","4"
"1986","Lower Saxony","Rural Area","4.1","4","517","2","4","5","5","5","4.02","4.18","2","5","4","4"
"1986","Lower Saxony","Urban Area","4.03","4","586","2","4","5","5","5","3.95","4.11","2","5","4","4"
"1986","Mecklenburg-Western Pomerania","Rural Area","","","","","","","","","","","","","",""
"1986","Mecklenburg-Western Pomerania","Urban Area","","","","","","","","","","","","","",""
"1986","North Rhine-Westphalia","Rural Area","4.23","4.61","69","3","4","5","5","5","4.01","4.45","2","5","4","5"
"1986","North Rhine-Westphalia","Urban Area","4.17","4","2778","3","4","5","5","5","4.13","4.21","2","5","4","4"
"1986","Rhineland-Palatinate,Saarland","Rural Area","4.25","5","145","2","4","5","5","5","4.08","4.42","2","5","4","5"
"1986","Rhineland-Palatinate,Saarland","Urban Area","4.25","5","623","3","4","5","5","5","4.18","4.32","2","5","4","5"
"1986","Saxony","Rural Area","","","","","","","","","","","","","",""
"1986","Saxony","Urban Area","","","","","","","","","","","","","",""
"1986","Saxony-Anhalt","Rural Area","","","","","","","","","","","","","",""
"1986","Saxony-Anhalt","Urban Area","","","","","","","","","","","","","",""
"1986","Schleswig-Holstein","Rural Area","4.01","4","168","3","4","5","5","5","3.86","4.16","2","5","4","4"
"1986","Schleswig-Holstein","Urban Area","4.1","4","153","3","4","5","5","5","3.95","4.25","2","5","4","4"
"1986","Thuringia","Rural Area","","","","","","","","","","","","","",""
"1986","Thuringia","Urban Area","","","","","","","","","","","","","",""
"1987","Baden-W?rttemberg","Rural Area","","","","","","","","","","","","","",""
"1987","Baden-W?rttemberg","Urban Area","","","","","","","","","","","","","",""
"1987","Bavaria","Rural Area","","","","","","","","","","","","","",""
"1987","Bavaria","Urban Area","","","","","","","","","","","","","",""
"1987","Berlin","Rural Area","","","","","","","","","","","","","",""
"1987","Berlin","Urban Area","","","","","","","","","","","","","",""
"1987","Brandenburg","Rural Area","","","","","","","","","","","","","",""
"1987","Brandenburg","Urban Area","","","","","","","","","","","","","",""
"1987","Bremen","Rural Area","","","","","","","","","","","","","",""
"1987","Bremen","Urban Area","","","","","","","","","","","","","",""
"1987","Hamburg","Rural Area","","","","","","","","","","","","","",""
"1987","Hamburg","Urban Area","","","","","","","","","","","","","",""
"1987","Hesse","Rural Area","","","","","","","","","","","","","",""
"1987","Hesse","Urban Area","","","","","","","","","","","","","",""
"1987","Lower Saxony","Rural Area","","","","","","","","","","","","","",""
"1987","Lower Saxony","Urban Area","","","","","","","","","","","","","",""
"1987","Mecklenburg-Western Pomerania","Rural Area","","","","","","","","","","","","","",""
"1987","Mecklenburg-Western Pomerania","Urban Area","","","","","","","","","","","","","",""
"1987","North Rhine-Westphalia","Rural Area","","","","","","","","","","","","","",""
"1987","North Rhine-Westphalia","Urban Area","","","","","","","","","","","","","",""
"1987","Rhineland-Palatinate,Saarland","Rural Area","","","","","","","","","","","","","",""
"1987","Rhineland-Palatinate,Saarland","Urban Area","","","","","","","","","","","","","",""
"1987","Saxony","Rural Area","","","","","","","","","","","","","",""
"1987","Saxony","Urban Area","","","","","","","","","","","","","",""
"1987","Saxony-Anhalt","Rural Area","","","","","","","","","","","","","",""
"1987","Saxony-Anhalt","Urban Area","","","","","","","","","","","","","",""
"1987","Schleswig-Holstein","Rural Area","","","","","","","","","","","","","",""
"1987","Schleswig-Holstein","Urban Area","","","","","","","","","","","","","",""
"1987","Thuringia","Rural Area","","","","","","","","","","","","","",""
"1987","Thuringia","Urban Area","","","","","","","","","","","","","",""
"1988","Baden-W?rttemberg","Rural Area","4.27","4","249","3","4","5","5","5","4.16","4.38","2","5","4","5"
"1988","Baden-W?rttemberg","Urban Area","4.17","4","1643","3","4","5","5","5","4.12","4.22","2","5","4","5"
"1988","Bavaria","Rural Area","4.07","4","760","2","3","5","5","5","4","4.14","2","5","4","4"
"1988","Bavaria","Urban Area","4.12","4","870","3","4","5","5","5","4.06","4.18","2","5","4","4"
"1988","Berlin","Rural Area","","","","","","","","","","","","","",""
"1988","Berlin","Urban Area","4.11","4","334","3","4","5","5","5","4.01","4.21","2","5","4","4"
"1988","Brandenburg","Rural Area","","","","","","","","","","","","","",""
"1988","Brandenburg","Urban Area","","","","","","","","","","","","","",""
"1988","Bremen","Rural Area","","","","","","","","","","","","","",""
"1988","Bremen","Urban Area","4.34","4.1","100","3","4","5","5","5","4.17","4.51","2","5","4","5"
"1988","Hamburg","Rural Area","","","","","","","","","","","","","",""
"1988","Hamburg","Urban Area","4.19","4","195","3","4","5","5","5","4.06","4.32","2","5","4","5"
"1988","Hesse","Rural Area","4.14","5","141","2","3","5","5","5","3.95","4.33","2","5","4","5"
"1988","Hesse","Urban Area","4.2","4","857","3","4","5","5","5","4.14","4.26","2","5","4","5"
"1988","Lower Saxony","Rural Area","4.08","4","474","3","4","5","5","5","3.99","4.17","2","5","4","4"
"1988","Lower Saxony","Urban Area","4","4","565","2","3","5","5","5","3.92","4.08","2","5","4","4"
