"year","education","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","college entrance qualification","(0) in school","","","","","","","","","","","","","",""
"1985","college entrance qualification","(1a) inadequately completed","","","","","","","","","","","","","",""
"1985","college entrance qualification","(1b) general elementary school","","","","","","","","","","","","","",""
"1985","college entrance qualification","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"1985","college entrance qualification","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1985","college entrance qualification","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1985","college entrance qualification","(2c_gen) general maturity certificate","3.23","3","295","2","2","4","5","5","3.12","3.34","2","5","3","3"
"1985","college entrance qualification","(2c_voc) vocational maturity certificate","3.97","4","312","2","3","5","5","5","3.86","4.08","2","5","4","4"
"1985","college entrance qualification","(3a) lower tertiary education","4.16","4","176","3","4","5","5","5","4.02","4.3","2","5","4","4"
"1985","college entrance qualification","(3b) higher tertiary education","3.93","4","432","3","3","5","5","5","3.84","4.02","2","5","4","4"
"1985","lower secondary degree","(0) in school","","","","","","","","","","","","","",""
"1985","lower secondary degree","(1a) inadequately completed","","","","","","","","","","","","","",""
"1985","lower secondary degree","(1b) general elementary school","4.48","5","1979","3","4","5","5","5","4.44","4.52","2","5","5","5"
"1985","lower secondary degree","(1c) basic vocational qualification","4.28","4","3412","3","4","5","5","5","4.25","4.31","2","5","4","4"
"1985","lower secondary degree","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1985","lower secondary degree","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1985","lower secondary degree","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1985","lower secondary degree","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1985","lower secondary degree","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1985","lower secondary degree","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1985","no degree/no degree yet","(0) in school","2.99","3","186","2","2","4","4","5","2.86","3.12","2","5","3","3"
