"year","hgtyp1hh","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","(Married) couple without C.","(0) in school","","","","","","","","","","","","","",""
"1985","(Married) couple without C.","(1a) inadequately completed","4.63","5","108","4","4","5","5","5","4.51","4.75","3","5","5","5"
"1985","(Married) couple without C.","(1b) general elementary school","4.65","5","561","4","4","5","5","5","4.59","4.71","2","5","5","5"
"1985","(Married) couple without C.","(1c) basic vocational qualification","4.45","5","999","3","4","5","5","5","4.4","4.5","2","5","5","5"
"1985","(Married) couple without C.","(2a) intermediate vocational","4.11","4","341","3","4","5","5","5","4.02","4.2","2","5","4","4"
"1985","(Married) couple without C.","(2b) intermediate general qualification","4.38","5","36","3","4","5","5","5","4.08","4.68","2","5","4","5"
"1985","(Married) couple without C.","(2c_gen) general maturity certificate","3.65","4","41","2","3","4","5","5","3.35","3.95","2","5","3","4"
"1985","(Married) couple without C.","(2c_voc) vocational maturity certificate","4.21","4.16","108","3","3","5","5","5","4.04","4.38","2","5","4","5"
"1985","(Married) couple without C.","(3a) lower tertiary education","4.41","5","80","3","4","5","5","5","4.24","4.58","2","5","4","5"
"1985","(Married) couple without C.","(3b) higher tertiary education","3.83","4","113","2","3","5","5","5","3.65","4.01","2","5","4","4"
"1985","1-pers.-HH","(0) in school","","","","","","","","","","","","","",""
"1985","1-pers.-HH","(1a) inadequately completed","4.43","5","64","3","4","5","5","5","4.2","4.66","2","5","5","5"
"1985","1-pers.-HH","(1b) general elementary school","4.79","5","299","4","5","5","5","5","4.7","4.88","2","5","5","5"
"1985","1-pers.-HH","(1c) basic vocational qualification","4.47","5","347","3","4","5","5","5","4.37","4.57","2","5","5","5"
"1985","1-pers.-HH","(2a) intermediate vocational","4.13","5","183","2","3","5","5","5","3.96","4.3","2","5","4","5"
"1985","1-pers.-HH","(2b) intermediate general qualification","4.3","5","36","2","4","5","5","5","3.93","4.67","2","5","4","5"
"1985","1-pers.-HH","(2c_gen) general maturity certificate","3.23","3","54","2","2","4","5","5","2.95","3.51","2","5","3","3"
"1985","1-pers.-HH","(2c_voc) vocational maturity certificate","3.62","4","69","2","3","5","5","5","3.36","3.88","2","5","3","4"
"1985","1-pers.-HH","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1985","1-pers.-HH","(3b) higher tertiary education","3.9","4","78","3","3","5","5","5","3.68","4.12","2","5","3","4"
"1985","Couple + C. GT 16 ","(0) in school","2.82","3","81","2","2","3","4","5","2.63","3.01","2","5","2","3"
"1985","Couple + C. GT 16 ","(1a) inadequately completed","4.15","4","139","2","4","5","5","5","4.01","4.29","2","5","5","5"
"1985","Couple + C. GT 16 ","(1b) general elementary school","4.23","5","455","2","4","5","5","5","4.14","4.32","2","5","4","5"
"1985","Couple + C. GT 16 ","(1c) basic vocational qualification","4.14","4","650","3","4","5","5","5","4.06","4.22","2","5","4","4"
"1985","Couple + C. GT 16 ","(2a) intermediate vocational","3.65","4","226","2","3","4","5","5","3.52","3.78","2","5","4","4"
"1985","Couple + C. GT 16 ","(2b) intermediate general qualification","3.12","3","164","2","2","4","5","5","2.96","3.28","2","5","3","3"
"1985","Couple + C. GT 16 ","(2c_gen) general maturity certificate","3.03","3","114","2","2","4","4","5","2.85","3.21","2","5","3","3"
"1985","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","3.89","4","50","2","3","5","5","5","3.62","4.16","2","5","4","4"
"1985","Couple + C. GT 16 ","(3a) lower tertiary education","4.17","4","36","3","4","5","5","5","3.82","4.52","2","5","4","5"
