"year","age_gr","e11103","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","16-34 y.","Full Time","3.91","4","1902","2","3","5","5","5","3.86","3.96","1","5","4","4"
"1990","16-34 y.","Not Working","3.64","4","909","2","3","5","5","5","3.56","3.72","1","5","4","4"
"1990","16-34 y.","Part Time","3.78","4","829","2","3","5","5","5","3.7","3.86","1","5","4","4"
"1990","35-65 y.","Full Time","4.03","4","2502","2","4","5","5","5","3.99","4.07","1","5","4","5"
"1990","35-65 y.","Not Working","4.18","5","1397","2","4","5","5","5","4.13","4.23","1","5","5","5"
"1990","35-65 y.","Part Time","3.92","4","860","2","3","5","5","5","3.85","3.99","1","5","4","4"
"1990","66 and older","Full Time","","","","","","","","","","","","","",""
"1990","66 and older","Not Working","4.51","5","1009","3","4","5","5","5","4.45","4.57","1","5","5","5"
"1990","66 and older","Part Time","","","","","","","","","","","","","",""
"1991","16-34 y.","Full Time","","","","","","","","","","","","","",""
"1991","16-34 y.","Not Working","","","","","","","","","","","","","",""
"1991","16-34 y.","Part Time","","","","","","","","","","","","","",""
"1991","35-65 y.","Full Time","","","","","","","","","","","","","",""
"1991","35-65 y.","Not Working","","","","","","","","","","","","","",""
"1991","35-65 y.","Part Time","","","","","","","","","","","","","",""
"1991","66 and older","Full Time","","","","","","","","","","","","","",""
"1991","66 and older","Not Working","","","","","","","","","","","","","",""
"1991","66 and older","Part Time","","","","","","","","","","","","","",""
"1992","16-34 y.","Full Time","","","","","","","","","","","","","",""
"1992","16-34 y.","Not Working","","","","","","","","","","","","","",""
"1992","16-34 y.","Part Time","","","","","","","","","","","","","",""
"1992","35-65 y.","Full Time","","","","","","","","","","","","","",""
"1992","35-65 y.","Not Working","","","","","","","","","","","","","",""
"1992","35-65 y.","Part Time","","","","","","","","","","","","","",""
"1992","66 and older","Full Time","","","","","","","","","","","","","",""
"1992","66 and older","Not Working","","","","","","","","","","","","","",""
"1992","66 and older","Part Time","","","","","","","","","","","","","",""
"1993","16-34 y.","Full Time","","","","","","","","","","","","","",""
"1993","16-34 y.","Not Working","","","","","","","","","","","","","",""
"1993","16-34 y.","Part Time","","","","","","","","","","","","","",""
"1993","35-65 y.","Full Time","","","","","","","","","","","","","",""
"1993","35-65 y.","Not Working","","","","","","","","","","","","","",""
"1993","35-65 y.","Part Time","","","","","","","","","","","","","",""
"1993","66 and older","Full Time","","","","","","","","","","","","","",""
"1993","66 and older","Not Working","","","","","","","","","","","","","",""
"1993","66 and older","Part Time","","","","","","","","","","","","","",""
"1994","16-34 y.","Full Time","","","","","","","","","","","","","",""
"1994","16-34 y.","Not Working","","","","","","","","","","","","","",""
"1994","16-34 y.","Part Time","","","","","","","","","","","","","",""
"1994","35-65 y.","Full Time","","","","","","","","","","","","","",""
"1994","35-65 y.","Not Working","","","","","","","","","","","","","",""
"1994","35-65 y.","Part Time","","","","","","","","","","","","","",""
"1994","66 and older","Full Time","","","","","","","","","","","","","",""
"1994","66 and older","Not Working","","","","","","","","","","","","","",""
"1994","66 and older","Part Time","","","","","","","","","","","","","",""
"1995","16-34 y.","Full Time","4.09","4","2412","2","4","5","5","5","4.05","4.13","1","5","4","4"
"1995","16-34 y.","Not Working","3.75","4","1364","2","3","5","5","5","3.68","3.82","1","5","4","4"
"1995","16-34 y.","Part Time","3.88","4","1155","2","3","5","5","5","3.81","3.95","1","5","4","4"
"1995","35-65 y.","Full Time","4.13","4","3465","3","4","5","5","5","4.1","4.16","1","5","4","5"
"1995","35-65 y.","Not Working","4.26","5","1941","2","4","5","5","5","4.22","4.3","1","5","5","5"
"1995","35-65 y.","Part Time","4.02","4","1412","2","4","5","5","5","3.96","4.08","1","5","4","5"
"1995","66 and older","Full Time","","","","","","","","","","","","","",""
"1995","66 and older","Not Working","4.45","5","1494","3","4","5","5","5","4.4","4.5","1","5","5","5"
"1995","66 and older","Part Time","3.75","4","32","2","3","5","5","5","3.3","4.2","1","5","4","5"
"1996","16-34 y.","Full Time","","","","","","","","","","","","","",""
"1996","16-34 y.","Not Working","","","","","","","","","","","","","",""
"1996","16-34 y.","Part Time","","","","","","","","","","","","","",""
"1996","35-65 y.","Full Time","","","","","","","","","","","","","",""
