"year","bula_h","e11103","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","Baden-W?rttemberg","Full Time","3.94","4","918","2","3","5","5","5","3.87","4.01","1","5","4","4"
"1990","Baden-W?rttemberg","Not Working","4.16","5","533","2","4","5","5","5","4.06","4.26","1","5","5","5"
"1990","Baden-W?rttemberg","Part Time","3.74","4","340","2","3","5","5","5","3.62","3.86","1","5","4","4"
"1990","Bavaria","Full Time","3.91","4","795","2","3","5","5","5","3.83","3.99","1","5","4","4"
"1990","Bavaria","Not Working","4.14","5","490","2","4","5","5","5","4.04","4.24","1","5","4","5"
"1990","Bavaria","Part Time","3.88","4","310","2","3","5","5","5","3.76","4","1","5","4","4"
"1990","Berlin","Full Time","3.96","4","155","3","3","5","5","5","3.81","4.11","1","5","4","4"
"1990","Berlin","Not Working","4.22","5","105","2","4","5","5","5","3.98","4.46","1","5","4","5"
"1990","Berlin","Part Time","3.77","4","69","2","2","5","5","5","3.44","4.1","1","5","4","5"
"1990","Brandenburg","Full Time","","","","","","","","","","","","","",""
"1990","Brandenburg","Not Working","","","","","","","","","","","","","",""
"1990","Brandenburg","Part Time","","","","","","","","","","","","","",""
"1990","Bremen","Full Time","4.19","4","36","3","4","5","5","5","3.91","4.47","2","5","4","5"
"1990","Bremen","Not Working","4.21","5","54","2","4","5","5","5","3.9","4.52","1","5","4","5"
"1990","Bremen","Part Time","","","","","","","","","","","","","",""
"1990","Hamburg","Full Time","3.87","4","71","2","3","5","5","5","3.58","4.16","1","5","4","5"
"1990","Hamburg","Not Working","4.03","5","63","2","3","5","5","5","3.7","4.36","1","5","4","5"
"1990","Hamburg","Part Time","3.88","4","32","3","3","5","5","5","3.56","4.2","2","5","4","5"
"1990","Hesse","Full Time","4.12","4","459","3","4","5","5","5","4.03","4.21","1","5","5","5"
"1990","Hesse","Not Working","4.34","5","334","3","4","5","5","5","4.23","4.45","1","5","5","5"
"1990","Hesse","Part Time","4.07","4","186","2","4","5","5","5","3.92","4.22","1","5","4","5"
"1990","Lower Saxony","Full Time","3.89","4","431","2","3","5","5","5","3.79","3.99","1","5","4","4"
"1990","Lower Saxony","Not Working","4.31","5","371","2","4","5","5","5","4.2","4.42","1","5","5","5"
"1990","Lower Saxony","Part Time","3.75","4","174","2","3","5","5","5","3.58","3.92","1","5","4","4"
"1990","Mecklenburg-Western Pomerania","Full Time","","","","","","","","","","","","","",""
"1990","Mecklenburg-Western Pomerania","Not Working","","","","","","","","","","","","","",""
"1990","Mecklenburg-Western Pomerania","Part Time","","","","","","","","","","","","","",""
"1990","North Rhine-Westphalia","Full Time","4.03","4","1137","2","4","5","5","5","3.97","4.09","1","5","4","5"
"1990","North Rhine-Westphalia","Not Working","4.21","5","995","2","4","5","5","5","4.14","4.28","1","5","5","5"
"1990","North Rhine-Westphalia","Part Time","3.92","4","427","2","3","5","5","5","3.81","4.03","1","5","4","4"
"1990","Rhineland-Palatinate,Saarland","Full Time","4.01","4","298","2","3","5","5","5","3.88","4.14","1","5","4","5"
"1990","Rhineland-Palatinate,Saarland","Not Working","4.41","5","266","3","4","5","5","5","4.28","4.54","1","5","5","5"
"1990","Rhineland-Palatinate,Saarland","Part Time","3.94","4.11","105","2","3","5","5","5","3.69","4.19","1","5","4","5"
"1990","Saxony","Full Time","","","","","","","","","","","","","",""
"1990","Saxony","Not Working","","","","","","","","","","","","","",""
"1990","Saxony","Part Time","","","","","","","","","","","","","",""
"1990","Saxony-Anhalt","Full Time","","","","","","","","","","","","","",""
"1990","Saxony-Anhalt","Not Working","","","","","","","","","","","","","",""
"1990","Saxony-Anhalt","Part Time","","","","","","","","","","","","","",""
"1990","Schleswig-Holstein","Full Time","4.08","4","118","3","4","5","5","5","3.89","4.27","1","5","4","5"
"1990","Schleswig-Holstein","Not Working","4.08","4","104","2","3","5","5","5","3.88","4.28","1","5","4","5"
"1990","Schleswig-Holstein","Part Time","3.87","4","62","2","3","5","5","5","3.59","4.15","1","5","4","5"
"1990","Thuringia","Full Time","","","","","","","","","","","","","",""
"1990","Thuringia","Not Working","","","","","","","","","","","","","",""
"1990","Thuringia","Part Time","","","","","","","","","","","","","",""
"1991","Baden-W?rttemberg","Full Time","","","","","","","","","","","","","",""
"1991","Baden-W?rttemberg","Not Working","","","","","","","","","","","","","",""
"1991","Baden-W?rttemberg","Part Time","","","","","","","","","","","","","",""
"1991","Bavaria","Full Time","","","","","","","","","","","","","",""
"1991","Bavaria","Not Working","","","","","","","","","","","","","",""
"1991","Bavaria","Part Time","","","","","","","","","","","","","",""
"1991","Berlin","Full Time","","","","","","","","","","","","","",""
"1991","Berlin","Not Working","","","","","","","","","","","","","",""
"1991","Berlin","Part Time","","","","","","","","","","","","","",""
"1991","Brandenburg","Full Time","","","","","","","","","","","","","",""
"1991","Brandenburg","Not Working","","","","","","","","","","","","","",""
"1991","Brandenburg","Part Time","","","","","","","","","","","","","",""
"1991","Bremen","Full Time","","","","","","","","","","","","","",""
"1991","Bremen","Not Working","","","","","","","","","","","","","",""
"1991","Bremen","Part Time","","","","","","","","","","","","","",""
"1991","Hamburg","Full Time","","","","","","","","","","","","","",""
"1991","Hamburg","Not Working","","","","","","","","","","","","","",""
"1991","Hamburg","Part Time","","","","","","","","","","","","","",""
"1991","Hesse","Full Time","","","","","","","","","","","","","",""
"1991","Hesse","Not Working","","","","","","","","","","","","","",""
"1991","Hesse","Part Time","","","","","","","","","","","","","",""
"1991","Lower Saxony","Full Time","","","","","","","","","","","","","",""
"1991","Lower Saxony","Not Working","","","","","","","","","","","","","",""
"1991","Lower Saxony","Part Time","","","","","","","","","","","","","",""
"1991","Mecklenburg-Western Pomerania","Full Time","","","","","","","","","","","","","",""
"1991","Mecklenburg-Western Pomerania","Not Working","","","","","","","","","","","","","",""
"1991","Mecklenburg-Western Pomerania","Part Time","","","","","","","","","","","","","",""
"1991","North Rhine-Westphalia","Full Time","","","","","","","","","","","","","",""
"1991","North Rhine-Westphalia","Not Working","","","","","","","","","","","","","",""
"1991","North Rhine-Westphalia","Part Time","","","","","","","","","","","","","",""
"1991","Rhineland-Palatinate,Saarland","Full Time","","","","","","","","","","","","","",""
"1991","Rhineland-Palatinate,Saarland","Not Working","","","","","","","","","","","","","",""
"1991","Rhineland-Palatinate,Saarland","Part Time","","","","","","","","","","","","","",""
"1991","Saxony","Full Time","","","","","","","","","","","","","",""
"1991","Saxony","Not Working","","","","","","","","","","","","","",""
"1991","Saxony","Part Time","","","","","","","","","","","","","",""
"1991","Saxony-Anhalt","Full Time","","","","","","","","","","","","","",""
"1991","Saxony-Anhalt","Not Working","","","","","","","","","","","","","",""
"1991","Saxony-Anhalt","Part Time","","","","","","","","","","","","","",""
"1991","Schleswig-Holstein","Full Time","","","","","","","","","","","","","",""
"1991","Schleswig-Holstein","Not Working","","","","","","","","","","","","","",""
"1991","Schleswig-Holstein","Part Time","","","","","","","","","","","","","",""
"1991","Thuringia","Full Time","","","","","","","","","","","","","",""
"1991","Thuringia","Not Working","","","","","","","","","","","","","",""
"1991","Thuringia","Part Time","","","","","","","","","","","","","",""
"1992","Baden-W?rttemberg","Full Time","","","","","","","","","","","","","",""
"1992","Baden-W?rttemberg","Not Working","","","","","","","","","","","","","",""
"1992","Baden-W?rttemberg","Part Time","","","","","","","","","","","","","",""
"1992","Bavaria","Full Time","","","","","","","","","","","","","",""
"1992","Bavaria","Not Working","","","","","","","","","","","","","",""
"1992","Bavaria","Part Time","","","","","","","","","","","","","",""
"1992","Berlin","Full Time","","","","","","","","","","","","","",""
"1992","Berlin","Not Working","","","","","","","","","","","","","",""
"1992","Berlin","Part Time","","","","","","","","","","","","","",""
"1992","Brandenburg","Full Time","","","","","","","","","","","","","",""
"1992","Brandenburg","Not Working","","","","","","","","","","","","","",""
"1992","Brandenburg","Part Time","","","","","","","","","","","","","",""
"1992","Bremen","Full Time","","","","","","","","","","","","","",""
"1992","Bremen","Not Working","","","","","","","","","","","","","",""
"1992","Bremen","Part Time","","","","","","","","","","","","","",""
"1992","Hamburg","Full Time","","","","","","","","","","","","","",""
"1992","Hamburg","Not Working","","","","","","","","","","","","","",""
"1992","Hamburg","Part Time","","","","","","","","","","","","","",""
"1992","Hesse","Full Time","","","","","","","","","","","","","",""
"1992","Hesse","Not Working","","","","","","","","","","","","","",""
"1992","Hesse","Part Time","","","","","","","","","","","","","",""
"1992","Lower Saxony","Full Time","","","","","","","","","","","","","",""
"1992","Lower Saxony","Not Working","","","","","","","","","","","","","",""
"1992","Lower Saxony","Part Time","","","","","","","","","","","","","",""
"1992","Mecklenburg-Western Pomerania","Full Time","","","","","","","","","","","","","",""
"1992","Mecklenburg-Western Pomerania","Not Working","","","","","","","","","","","","","",""
"1992","Mecklenburg-Western Pomerania","Part Time","","","","","","","","","","","","","",""
"1992","North Rhine-Westphalia","Full Time","","","","","","","","","","","","","",""
"1992","North Rhine-Westphalia","Not Working","","","","","","","","","","","","","",""
"1992","North Rhine-Westphalia","Part Time","","","","","","","","","","","","","",""
"1992","Rhineland-Palatinate,Saarland","Full Time","","","","","","","","","","","","","",""
"1992","Rhineland-Palatinate,Saarland","Not Working","","","","","","","","","","","","","",""
"1992","Rhineland-Palatinate,Saarland","Part Time","","","","","","","","","","","","","",""
"1992","Saxony","Full Time","","","","","","","","","","","","","",""
"1992","Saxony","Not Working","","","","","","","","","","","","","",""
"1992","Saxony","Part Time","","","","","","","","","","","","","",""
"1992","Saxony-Anhalt","Full Time","","","","","","","","","","","","","",""
"1992","Saxony-Anhalt","Not Working","","","","","","","","","","","","","",""
"1992","Saxony-Anhalt","Part Time","","","","","","","","","","","","","",""
"1992","Schleswig-Holstein","Full Time","","","","","","","","","","","","","",""
