"year","e11102","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","Employed","general elemantary","4.2","5","1385","3","4","5","5","5","4.15","4.25","1","5","5","5"
"1990","Employed","higher education","3.46","4","566","2","3","4","5","5","3.36","3.56","1","5","4","4"
"1990","Employed","higher vocational","3.71","4","374","2","3","5","5","5","3.6","3.82","1","5","4","4"
"1990","Employed","in school","","","","","","","","","","","","","",""
"1990","Employed","inadequately","4.55","5","362","3","4","5","5","5","4.47","4.63","1","5","5","5"
"1990","Employed","middle vocational","3.99","4","3126","2","3","5","5","5","3.95","4.03","1","5","4","4"
"1990","Employed","vocational + Abi","3.61","4","207","2","3","5","5","5","3.45","3.77","1","5","4","4"
"1990","Not Employed","general elemantary","4.46","5","1083","3","4","5","5","5","4.4","4.52","1","5","5","5"
"1990","Not Employed","higher education","3.56","4","129","2","2","5","5","5","3.33","3.79","1","5","3","4"
"1990","Not Employed","higher vocational","4.14","5","138","2","4","5","5","5","3.95","4.33","1","5","4","5"
"1990","Not Employed","in school","3.1","3","144","1","2","4","5","5","2.86","3.34","1","5","3","4"
"1990","Not Employed","inadequately","4.78","5","266","4","5","5","5","5","4.71","4.85","1","5","5","5"
"1990","Not Employed","middle vocational","4.2","5","1416","2","4","5","5","5","4.14","4.26","1","5","4","5"
"1990","Not Employed","vocational + Abi","4","4","85","3","3","5","5","5","3.75","4.25","1","5","4","5"
"1991","Employed","general elemantary","","","","","","","","","","","","","",""
"1991","Employed","higher education","","","","","","","","","","","","","",""
"1991","Employed","higher vocational","","","","","","","","","","","","","",""
"1991","Employed","in school","","","","","","","","","","","","","",""
"1991","Employed","inadequately","","","","","","","","","","","","","",""
"1991","Employed","middle vocational","","","","","","","","","","","","","",""
"1991","Employed","vocational + Abi","","","","","","","","","","","","","",""
"1991","Not Employed","general elemantary","","","","","","","","","","","","","",""
"1991","Not Employed","higher education","","","","","","","","","","","","","",""
"1991","Not Employed","higher vocational","","","","","","","","","","","","","",""
"1991","Not Employed","in school","","","","","","","","","","","","","",""
"1991","Not Employed","inadequately","","","","","","","","","","","","","",""
"1991","Not Employed","middle vocational","","","","","","","","","","","","","",""
"1991","Not Employed","vocational + Abi","","","","","","","","","","","","","",""
"1992","Employed","general elemantary","","","","","","","","","","","","","",""
"1992","Employed","higher education","","","","","","","","","","","","","",""
"1992","Employed","higher vocational","","","","","","","","","","","","","",""
"1992","Employed","in school","","","","","","","","","","","","","",""
"1992","Employed","inadequately","","","","","","","","","","","","","",""
"1992","Employed","middle vocational","","","","","","","","","","","","","",""
"1992","Employed","vocational + Abi","","","","","","","","","","","","","",""
"1992","Not Employed","general elemantary","","","","","","","","","","","","","",""
"1992","Not Employed","higher education","","","","","","","","","","","","","",""
"1992","Not Employed","higher vocational","","","","","","","","","","","","","",""
"1992","Not Employed","in school","","","","","","","","","","","","","",""
"1992","Not Employed","inadequately","","","","","","","","","","","","","",""
"1992","Not Employed","middle vocational","","","","","","","","","","","","","",""
"1992","Not Employed","vocational + Abi","","","","","","","","","","","","","",""
"1993","Employed","general elemantary","","","","","","","","","","","","","",""
"1993","Employed","higher education","","","","","","","","","","","","","",""
"1993","Employed","higher vocational","","","","","","","","","","","","","",""
"1993","Employed","in school","","","","","","","","","","","","","",""
"1993","Employed","inadequately","","","","","","","","","","","","","",""
"1993","Employed","middle vocational","","","","","","","","","","","","","",""
"1993","Employed","vocational + Abi","","","","","","","","","","","","","",""
"1993","Not Employed","general elemantary","","","","","","","","","","","","","",""
"1993","Not Employed","higher education","","","","","","","","","","","","","",""
"1993","Not Employed","higher vocational","","","","","","","","","","","","","",""
"1993","Not Employed","in school","","","","","","","","","","","","","",""
"1993","Not Employed","inadequately","","","","","","","","","","","","","",""
"1993","Not Employed","middle vocational","","","","","","","","","","","","","",""
"1993","Not Employed","vocational + Abi","","","","","","","","","","","","","",""
"1994","Employed","general elemantary","","","","","","","","","","","","","",""
"1994","Employed","higher education","","","","","","","","","","","","","",""
"1994","Employed","higher vocational","","","","","","","","","","","","","",""
"1994","Employed","in school","","","","","","","","","","","","","",""
"1994","Employed","inadequately","","","","","","","","","","","","","",""
"1994","Employed","middle vocational","","","","","","","","","","","","","",""
"1994","Employed","vocational + Abi","","","","","","","","","","","","","",""
"1994","Not Employed","general elemantary","","","","","","","","","","","","","",""
"1994","Not Employed","higher education","","","","","","","","","","","","","",""
"1994","Not Employed","higher vocational","","","","","","","","","","","","","",""
"1994","Not Employed","in school","","","","","","","","","","","","","",""
"1994","Not Employed","inadequately","","","","","","","","","","","","","",""
"1994","Not Employed","middle vocational","","","","","","","","","","","","","",""
"1994","Not Employed","vocational + Abi","","","","","","","","","","","","","",""
"1995","Employed","general elemantary","4.27","5","1258","2","4","5","5","5","4.22","4.32","1","5","5","5"
"1995","Employed","higher education","3.7","4","1390","2","3","5","5","5","3.64","3.76","1","5","4","4"
"1995","Employed","higher vocational","3.97","4","573","2","3","5","5","5","3.88","4.06","1","5","4","4"
"1995","Employed","in school","","","","","","","","","","","","","",""
"1995","Employed","inadequately","4.76","5","274","4","5","5","5","5","4.69","4.83","1","5","5","5"
"1995","Employed","middle vocational","4.15","4","4469","3","4","5","5","5","4.12","4.18","1","5","4","4"
"1995","Employed","vocational + Abi","3.72","4","347","2","3","5","5","5","3.6","3.84","1","5","4","4"
"1995","Not Employed","general elemantary","4.52","5","1242","3","4","5","5","5","4.47","4.57","1","5","5","5"
"1995","Not Employed","higher education","3.79","4","368","2","3","5","5","5","3.66","3.92","1","5","4","4"
"1995","Not Employed","higher vocational","4.05","4","189","2","3","5","5","5","3.88","4.22","1","5","4","5"
"1995","Not Employed","in school","3.24","4","277","1","2","5","5","5","3.07","3.41","1","5","3","4"
"1995","Not Employed","inadequately","4.72","5","257","4","5","5","5","5","4.65","4.79","1","5","5","5"
"1995","Not Employed","middle vocational","4.26","5","2239","2","4","5","5","5","4.22","4.3","1","5","5","5"
"1995","Not Employed","vocational + Abi","4.07","5","128","2","4","5","5","5","3.87","4.27","1","5","4","5"
"1996","Employed","general elemantary","","","","","","","","","","","","","",""
"1996","Employed","higher education","","","","","","","","","","","","","",""
"1996","Employed","higher vocational","","","","","","","","","","","","","",""
"1996","Employed","in school","","","","","","","","","","","","","",""
"1996","Employed","inadequately","","","","","","","","","","","","","",""
