"year","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","Female","4.07","4","4790","2","4","5","5","5","4.04","4.1","1","5","4","5"
"1990","Male","4.04","4","4661","2","4","5","5","5","4.01","4.07","1","5","4","5"
"1991","Female","","","","","","","","","","","","","",""
"1991","Male","","","","","","","","","","","","","",""
"1992","Female","","","","","","","","","","","","","",""
"1992","Male","","","","","","","","","","","","","",""
"1993","Female","","","","","","","","","","","","","",""
"1993","Male","","","","","","","","","","","","","",""
"1994","Female","","","","","","","","","","","","","",""
"1994","Male","","","","","","","","","","","","","",""
"1995","Female","4.13","5","6884","2","4","5","5","5","4.1","4.16","1","5","4","5"
"1995","Male","4.15","5","6401","2","4","5","5","5","4.12","4.18","1","5","5","5"
"1996","Female","","","","","","","","","","","","","",""
"1996","Male","","","","","","","","","","","","","",""
"1997","Female","","","","","","","","","","","","","",""
"1997","Male","","","","","","","","","","","","","",""
"1998","Female","4.18","5","7346","2","4","5","5","5","4.16","4.2","1","5","5","5"
"1998","Male","4.23","5","6857","2","4","5","5","5","4.21","4.25","1","5","5","5"
"1999","Female","","","","","","","","","","","","","",""
"1999","Male","","","","","","","","","","","","","",""
"2000","Female","","","","","","","","","","","","","",""
"2000","Male","","","","","","","","","","","","","",""
"2001","Female","4.35","5","11343","3","4","5","5","5","4.33","4.37","2","5","5","5"
"2001","Male","4.44","5","10473","3","4","5","5","5","4.42","4.46","2","5","5","5"
"2002","Female","","","","","","","","","","","","","",""
"2002","Male","","","","","","","","","","","","","",""
"2003","Female","4.18","5","11485","2","4","5","5","5","4.16","4.2","1","5","4","5"
"2003","Male","4.26","5","10654","2","4","5","5","5","4.24","4.28","1","5","5","5"
"2004","Female","","","","","","","","","","","","","",""
"2004","Male","","","","","","","","","","","","","",""
"2005","Female","4.28","5","10753","3","4","5","5","5","4.26","4.3","2","5","5","5"
"2005","Male","4.37","5","9869","3","4","5","5","5","4.35","4.39","2","5","5","5"
"2006","Female","","","","","","","","","","","","","",""
"2006","Male","","","","","","","","","","","","","",""
"2007","Female","4.26","5","10707","2","4","5","5","5","4.24","4.28","2","5","5","5"
"2007","Male","4.37","5","9723","3","4","5","5","5","4.35","4.39","2","5","5","5"
"2008","Female","4.12","5","10131","2","4","5","5","5","4.1","4.14","1","5","4","4"
"2008","Male","4.21","5","9214","2","4","5","5","5","4.19","4.23","1","5","5","5"
"2009","Female","4.22","5","9381","2","4","5","5","5","4.2","4.24","2","5","5","5"
"2009","Male","4.3","5","8577","3","4","5","5","5","4.28","4.32","2","5","5","5"
"2010","Female","","","","","","","","","","","","","",""
"2010","Male","","","","","","","","","","","","","",""
"2011","Female","4.21","5","15515","2","4","5","5","5","4.19","4.23","2","5","5","5"
"2011","Male","4.33","5","12828","2","4","5","5","5","4.31","4.35","2","5","5","5"
"2012","Female","","","","","","","","","","","","","",""
"2012","Male","","","","","","","","","","","","","",""
"2013","Female","3.96","4","13977","2","3","5","5","5","3.94","3.98","1","5","4","4"
"2013","Male","4.09","5","11545","2","4","5","5","5","4.07","4.11","1","5","4","5"
"2014","Female","","","","","","","","","","","","","",""
"2014","Male","","","","","","","","","","","","","",""
"2015","Female","4.17","5","14512","2","4","5","5","5","4.15","4.19","2","5","5","5"
"2015","Male","4.32","5","12343","2","4","5","5","5","4.3","4.34","2","5","5","5"
"2016","Female","","","","","","","","","","","","","",""
"2016","Male","","","","","","","","","","","","","",""
"2017","Female","4.11","5","16527","2","4","5","5","5","4.09","4.13","1","5","5","5"
"2017","Male","4.28","5","15635","2","4","5","5","5","4.26","4.3","1","5","5","5"
"2018","Female","4.44","5","1467","3","4","5","5","5","4.39","4.49","1","5","5","5"
"2018","Male","4.29","5","2390","2","4","5","5","5","4.25","4.33","1","5","5","5"
"2019","Female","3.91","4","14861","2","3","5","5","5","3.89","3.93","1","5","4","4"
"2019","Male","4.14","5","14493","2","4","5","5","5","4.12","4.16","1","5","5","5"
