"year","bula_h","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2013","Baden-Württemberg","direct migration background","3.68","5","428","1","2","5","5","5","3.51","3.85","1","5","4","5"
"2013","Baden-Württemberg","indirect migration background","2.48","1.88","214","1","1","5","5","5","2.25","2.71","1","5","1","2"
"2013","Baden-Württemberg","no migration background","3.71","5","2367","1","2","5","5","5","3.64","3.78","1","5","5","5"
"2013","Bavaria","direct migration background","3.63","5","433","1","2","5","5","5","3.47","3.79","1","5","2","4"
"2013","Bavaria","indirect migration background","2.43","2","211","1","1","4","5","5","2.2","2.66","1","5","1","2"
"2013","Bavaria","no migration background","3.68","5","3370","1","2","5","5","5","3.62","3.74","1","5","5","5"
"2013","Berlin","direct migration background","2.91","2","75","1","1","5","5","5","2.5","3.32","1","5","2","4"
"2013","Berlin","indirect migration background","2.58","2","43","1","1","5","5","5","2.04","3.12","1","5","1","3"
"2013","Berlin","no migration background","3.51","5","869","1","1","5","5","5","3.39","3.63","1","5","4","5"
"2013","Brandenburg","direct migration background","3.94","5","36","1","3","5","5","5","3.36","4.52","1","5","3","5"
"2013","Brandenburg","indirect migration background","","","","","","","","","","","","","",""
"2013","Brandenburg","no migration background","3.85","5","968","1","2","5","5","5","3.74","3.96","1","5","5","5"
"2013","Bremen","direct migration background","","","","","","","","","","","","","",""
"2013","Bremen","indirect migration background","","","","","","","","","","","","","",""
"2013","Bremen","no migration background","2.96","3","145","1","1","5","5","5","2.66","3.26","1","5","2","4"
"2013","Hamburg","direct migration background","3.52","5","42","1","2","5","5","5","2.97","4.07","1","5","2","5"
"2013","Hamburg","indirect migration background","","","","","","","","","","","","","",""
"2013","Hamburg","no migration background","3.62","5","337","1","1","5","5","5","3.43","3.81","1","5","4","5"
"2013","Hesse","direct migration background","3.75","5","280","1","2","5","5","5","3.54","3.96","1","5","2","5"
"2013","Hesse","indirect migration background","2.07","1","109","1","1","3","5","5","1.76","2.38","1","5","1","2"
"2013","Hesse","no migration background","3.52","5","1367","1","2","5","5","5","3.43","3.61","1","5","4","5"
"2013","Lower Saxony","direct migration background","3.56","5","229","1","2","5","5","5","3.33","3.79","1","5","3","5"
"2013","Lower Saxony","indirect migration background","2.36","2","79","1","1","4","5","5","2.01","2.71","1","5","1","2"
"2013","Lower Saxony","no migration background","3.5","5","2135","1","1","5","5","5","3.42","3.58","1","5","4","5"
"2013","Mecklenburg-Western Pomerania","direct migration background","","","","","","","","","","","","","",""
"2013","Mecklenburg-Western Pomerania","indirect migration background","","","","","","","","","","","","","",""
"2013","Mecklenburg-Western Pomerania","no migration background","3.73","5","564","1","2","5","5","5","3.59","3.87","1","5","4","5"
"2013","North Rhine-Westphalia","direct migration background","3.6","5","765","1","2","5","5","5","3.48","3.72","1","5","4","5"
"2013","North Rhine-Westphalia","indirect migration background","2.55","2","331","1","1","5","5","5","2.36","2.74","1","5","1","2"
"2013","North Rhine-Westphalia","no migration background","3.5","5","4004","1","1","5","5","5","3.44","3.56","1","5","4","5"
"2013","Rhineland-Palatinate,Saarland","direct migration background","3.55","5","172","1","1","5","5","5","3.29","3.81","1","5","2","5"
"2013","Rhineland-Palatinate,Saarland","indirect migration background","2","1","72","1","1","4","5","5","1.66","2.34","1","5","1","2"
"2013","Rhineland-Palatinate,Saarland","no migration background","3.45","4","1168","1","2","5","5","5","3.35","3.55","1","5","4","5"
"2013","Saxony","direct migration background","4.02","4.67","37","1","4","5","5","5","3.48","4.56","1","5","4","5"
"2013","Saxony","indirect migration background","","","","","","","","","","","","","",""
"2013","Saxony","no migration background","3.64","5","1648","1","2","5","5","5","3.56","3.72","1","5","5","5"
"2013","Saxony-Anhalt","direct migration background","","","","","","","","","","","","","",""
"2013","Saxony-Anhalt","indirect migration background","","","","","","","","","","","","","",""
"2013","Saxony-Anhalt","no migration background","3.76","5","929","1","2","5","5","5","3.65","3.87","1","5","5","5"
"2013","Schleswig-Holstein","direct migration background","3.76","5","85","1","2","5","5","5","3.37","4.15","1","5","2","5"
"2013","Schleswig-Holstein","indirect migration background","2.05","1","31","1","1","3","5","5","1.38","2.72","1","5","1","5"
"2013","Schleswig-Holstein","no migration background","3.6","5","786","1","1","5","5","5","3.47","3.73","1","5","4","5"
"2013","Thuringia","direct migration background","","","","","","","","","","","","","",""
"2013","Thuringia","indirect migration background","","","","","","","","","","","","","",""
"2013","Thuringia","no migration background","3.91","5","968","1","2","5","5","5","3.8","4.02","1","5","5","5"
"2014","Baden-Württemberg","direct migration background","","","","","","","","","","","","","",""
"2014","Baden-Württemberg","indirect migration background","","","","","","","","","","","","","",""
"2014","Baden-Württemberg","no migration background","","","","","","","","","","","","","",""
"2014","Bavaria","direct migration background","","","","","","","","","","","","","",""
"2014","Bavaria","indirect migration background","","","","","","","","","","","","","",""
"2014","Bavaria","no migration background","","","","","","","","","","","","","",""
"2014","Berlin","direct migration background","","","","","","","","","","","","","",""
"2014","Berlin","indirect migration background","","","","","","","","","","","","","",""
"2014","Berlin","no migration background","","","","","","","","","","","","","",""
"2014","Brandenburg","direct migration background","","","","","","","","","","","","","",""
"2014","Brandenburg","indirect migration background","","","","","","","","","","","","","",""
"2014","Brandenburg","no migration background","","","","","","","","","","","","","",""
"2014","Bremen","direct migration background","","","","","","","","","","","","","",""
"2014","Bremen","indirect migration background","","","","","","","","","","","","","",""
"2014","Bremen","no migration background","","","","","","","","","","","","","",""
"2014","Hamburg","direct migration background","","","","","","","","","","","","","",""
