"year","hgtyp1hh","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2013","(Married) couple without C.","Rural Area","4.05","5","2789","1","3","5","5","5","3.99","4.11","1","5","5","5"
"2013","(Married) couple without C.","Urban Area","3.87","5","4802","1","2","5","5","5","3.82","3.92","1","5","5","5"
"2013","1-pers.-HH","Rural Area","4.01","5","1129","1","3","5","5","5","3.92","4.1","1","5","5","5"
"2013","1-pers.-HH","Urban Area","3.72","5","2429","1","2","5","5","5","3.65","3.79","1","5","5","5"
"2013","Couple + C. GT 16 ","Rural Area","3.19","4","997","1","1","5","5","5","3.08","3.3","1","5","3","4"
"2013","Couple + C. GT 16 ","Urban Area","2.9","2","1770","1","1","5","5","5","2.82","2.98","1","5","3","4"
"2013","Couple + C. LE 16","Rural Area","3.35","4","2285","1","2","5","5","5","3.28","3.42","1","5","4","4"
"2013","Couple + C. LE 16","Urban Area","3.17","4","4191","1","1","5","5","5","3.12","3.22","1","5","3","4"
"2013","Couple + C. LE and GT 16","Rural Area","3.04","3","787","1","1","5","5","5","2.92","3.16","1","5","2","4"
"2013","Couple + C. LE and GT 16","Urban Area","2.83","2","1231","1","1","5","5","5","2.73","2.93","1","5","2","2"
"2013","Single parent","Rural Area","2.85","2","918","1","1","5","5","5","2.73","2.97","1","5","2","3"
"2013","Single parent","Urban Area","2.79","2","1694","1","1","5","5","5","2.7","2.88","1","5","2","2"
"2014","(Married) couple without C.","Rural Area","","","","","","","","","","","","","",""
"2014","(Married) couple without C.","Urban Area","","","","","","","","","","","","","",""
"2014","1-pers.-HH","Rural Area","","","","","","","","","","","","","",""
"2014","1-pers.-HH","Urban Area","","","","","","","","","","","","","",""
"2014","Couple + C. GT 16 ","Rural Area","","","","","","","","","","","","","",""
"2014","Couple + C. GT 16 ","Urban Area","","","","","","","","","","","","","",""
"2014","Couple + C. LE 16","Rural Area","","","","","","","","","","","","","",""
"2014","Couple + C. LE 16","Urban Area","","","","","","","","","","","","","",""
"2014","Couple + C. LE and GT 16","Rural Area","","","","","","","","","","","","","",""
"2014","Couple + C. LE and GT 16","Urban Area","","","","","","","","","","","","","",""
"2014","Single parent","Rural Area","","","","","","","","","","","","","",""
"2014","Single parent","Urban Area","","","","","","","","","","","","","",""
"2015","(Married) couple without C.","Rural Area","","","","","","","","","","","","","",""
"2015","(Married) couple without C.","Urban Area","","","","","","","","","","","","","",""
"2015","1-pers.-HH","Rural Area","","","","","","","","","","","","","",""
"2015","1-pers.-HH","Urban Area","","","","","","","","","","","","","",""
"2015","Couple + C. GT 16 ","Rural Area","","","","","","","","","","","","","",""
"2015","Couple + C. GT 16 ","Urban Area","","","","","","","","","","","","","",""
"2015","Couple + C. LE 16","Rural Area","","","","","","","","","","","","","",""
"2015","Couple + C. LE 16","Urban Area","","","","","","","","","","","","","",""
"2015","Couple + C. LE and GT 16","Rural Area","","","","","","","","","","","","","",""
"2015","Couple + C. LE and GT 16","Urban Area","","","","","","","","","","","","","",""
"2015","Single parent","Rural Area","","","","","","","","","","","","","",""
"2015","Single parent","Urban Area","","","","","","","","","","","","","",""
"2016","(Married) couple without C.","Rural Area","","","","","","","","","","","","","",""
"2016","(Married) couple without C.","Urban Area","","","","","","","","","","","","","",""
"2016","1-pers.-HH","Rural Area","","","","","","","","","","","","","",""
"2016","1-pers.-HH","Urban Area","","","","","","","","","","","","","",""
"2016","Couple + C. GT 16 ","Rural Area","","","","","","","","","","","","","",""
"2016","Couple + C. GT 16 ","Urban Area","","","","","","","","","","","","","",""
"2016","Couple + C. LE 16","Rural Area","","","","","","","","","","","","","",""
"2016","Couple + C. LE 16","Urban Area","","","","","","","","","","","","","",""
"2016","Couple + C. LE and GT 16","Rural Area","","","","","","","","","","","","","",""
"2016","Couple + C. LE and GT 16","Urban Area","","","","","","","","","","","","","",""
"2016","Single parent","Rural Area","","","","","","","","","","","","","",""
"2016","Single parent","Urban Area","","","","","","","","","","","","","",""
