"year","hgtyp1hh","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","(Married) couple without C.","direct migration background","9.71","7","321","1","3","14","23","44","8.89","10.53","0","44","7","10"
"1984","(Married) couple without C.","indirect migration background","","","","","","","","","","","","","",""
"1984","(Married) couple without C.","no migration background","13.62","10","1044","2","4","21","31","45","12.93","14.31","0","59","9","10"
"1984","1-pers.-HH","direct migration background","7.97","7","180","1","3","13","17","23","7.06","8.88","0","23","6","10"
"1984","1-pers.-HH","indirect migration background","","","","","","","","","","","","","",""
"1984","1-pers.-HH","no migration background","10.35","7","440","1","3","14","25","45","9.43","11.27","0","58","5","8"
"1984","Couple + C. GT 16 ","direct migration background","9.86","7.12","320","1","2","15","23","33","9.05","10.67","0","33","6","10"
"1984","Couple + C. GT 16 ","indirect migration background","","","","","","","","","","","","","",""
"1984","Couple + C. GT 16 ","no migration background","11.43","8","888","1","3","19","27","42","10.73","12.13","0","51","7","9"
"1984","Couple + C. LE 16","direct migration background","8.19","7","795","1","4","12","15","32","7.81","8.57","0","37","7","8"
"1984","Couple + C. LE 16","indirect migration background","","","","","","","","","","","","","",""
"1984","Couple + C. LE 16","no migration background","9.68","8","1262","1","4","14","20","32","9.26","10.1","0","40","7","8"
"1984","Couple + C. LE and GT 16","direct migration background","7.45","4","418","0","1","12","17","30","6.81","8.09","0","30","4","6"
"1984","Couple + C. LE and GT 16","indirect migration background","","","","","","","","","","","","","",""
"1984","Couple + C. LE and GT 16","no migration background","10.34","6","636","1","2","17","26","37","9.58","11.1","0","46","5","8"
"1984","Single parent","direct migration background","5.73","4","84","1","2","8","13","18","4.64","6.82","0","19","4","8"
"1984","Single parent","indirect migration background","","","","","","","","","","","","","",""
"1984","Single parent","no migration background","7.84","5","227","1","2","12","19","30","6.82","8.86","0","36","4","6"
"1985","(Married) couple without C.","direct migration background","9.46","6","279","1","3","14","21","40","8.59","10.33","0","40","6","11"
"1985","(Married) couple without C.","indirect migration background","","","","","","","","","","","","","",""
"1985","(Married) couple without C.","no migration background","12.94","10","937","1","4","19","30","41","12.26","13.62","0","58","8","10"
"1985","1-pers.-HH","direct migration background","7.9","7","147","1","2","12","15","23","6.88","8.92","0","23","7","11"
"1985","1-pers.-HH","indirect migration background","","","","","","","","","","","","","",""
"1985","1-pers.-HH","no migration background","9.22","6","400","1","3","14","22","37","8.38","10.06","0","43","5","7"
"1985","Couple + C. GT 16 ","direct migration background","9.12","7","273","1","2","14","23","29","8.23","10.01","0","38","6","10"
"1985","Couple + C. GT 16 ","indirect migration background","","","","","","","","","","","","","",""
"1985","Couple + C. GT 16 ","no migration background","11.12","7","940","1","2","18","27","42","10.44","11.8","0","67","6","8"
"1985","Couple + C. LE 16","direct migration background","8.49","7","647","1","3","12","17","29","8.03","8.95","0","36","7","8"
"1985","Couple + C. LE 16","indirect migration background","","","","","","","","","","","","","",""
"1985","Couple + C. LE 16","no migration background","9.62","8","1101","1","4","14","20","31","9.18","10.06","0","41","7","8"
"1985","Couple + C. LE and GT 16","direct migration background","8.14","6","377","1","2","13","17","31","7.47","8.81","0","31","5","8"
"1985","Couple + C. LE and GT 16","indirect migration background","","","","","","","","","","","","","",""
"1985","Couple + C. LE and GT 16","no migration background","10.34","7","483","1","2","17","26","36","9.5","11.18","0","40","6","8"
"1985","Single parent","direct migration background","5.9","4.63","75","0","2","9","14","20","4.62","7.18","0","22","3","8"
"1985","Single parent","indirect migration background","","","","","","","","","","","","","",""
